,time,A_bid,A_ask,B_bid,B_ask
315,1611448491.6139047,87.2,87.80000000000001,87.2,87.5
316,1611448491.6640835,87.2,87.80000000000001,87.2,87.5
317,1611448491.714229,87.2,87.80000000000001,87.2,87.5
318,1611448491.7643964,87.2,87.80000000000001,87.2,87.5
319,1611448491.8145607,87.2,87.80000000000001,87.2,87.5
320,1611448491.8647075,87.2,87.80000000000001,87.2,87.5
321,1611448491.9148774,87.2,87.80000000000001,87.2,87.5
322,1611448491.9650626,87.2,87.80000000000001,87.2,87.5
323,1611448492.0152438,87.2,87.80000000000001,87.2,87.5
324,1611448492.0654182,87.2,87.80000000000001,87.2,87.5
325,1611448492.1156049,87.2,87.80000000000001,87.2,87.5
326,1611448492.1658027,87.2,87.80000000000001,87.2,87.5
327,1611448492.2159934,87.2,87.80000000000001,87.2,87.5
328,1611448492.2662027,87.2,87.80000000000001,87.2,87.5
329,1611448492.3164017,87.2,87.80000000000001,87.2,87.5
330,1611448492.366563,87.2,87.80000000000001,87.2,87.5
331,1611448492.416745,87.2,87.80000000000001,87.2,87.5
332,1611448492.4669223,87.2,87.80000000000001,87.2,87.5
333,1611448492.5171099,87.2,87.80000000000001,87.2,87.5
334,1611448492.5672917,87.2,87.80000000000001,87.2,87.5
335,1611448492.6174717,87.2,87.80000000000001,87.2,87.5
336,1611448492.6676455,87.2,87.80000000000001,87.2,87.5
337,1611448492.7559257,87.30000000000001,87.9,87.2,87.5
338,1611448492.8060942,87.30000000000001,87.9,87.2,87.5
339,1611448492.856272,87.30000000000001,87.9,87.2,87.5
340,1611448492.906454,87.30000000000001,87.9,87.2,87.5
341,1611448492.956611,87.30000000000001,87.9,87.2,87.5
342,1611448493.0067809,87.30000000000001,87.9,87.2,87.5
343,1611448493.0569625,87.30000000000001,87.9,87.2,87.5
344,1611448493.1071482,87.30000000000001,87.9,87.2,87.5
345,1611448493.1573312,87.30000000000001,87.9,87.2,87.5
346,1611448493.2075198,87.30000000000001,87.9,87.2,87.5
347,1611448493.2576952,87.30000000000001,87.9,87.2,87.5
348,1611448493.3078568,87.30000000000001,87.9,87.2,87.5
349,1611448493.3580332,87.30000000000001,87.9,87.2,87.5
350,1611448493.4081898,87.30000000000001,87.9,87.2,87.5
351,1611448493.4583704,87.30000000000001,87.9,87.2,87.5
352,1611448493.508541,87.30000000000001,87.9,87.2,87.5
353,1611448493.558833,87.30000000000001,87.9,87.2,87.80000000000001
354,1611448493.60914,87.30000000000001,87.9,87.4,87.7
